Date ,Tweet,,,,,,,,,,Mention
4/13/16 16:51,ICYMI: Nagkaroon ng Magnitude 6 na lindol sa #Zamboanga del Norte pasado 2am kanina.,,,,,,,,,,@imReadyPH
4/13/16 11:03,"Bayan ng Gutalac, Zamboanga del Norte niyanig ng magnitude 5.7 na lindol.",,,,,,,,,,@dzbb
4/13/16 10:53,"UPDATE: Magnitude 5.7 ang naitalang lindol sa may Gutalac, Zamboanga del Norte, ayon sa @phivolcs_dost.",,,,,,,,,,@gmanewsbreaking
4/5/16 1:17,"JUST IN: Magnitude 5.9 lindol naitala Sarangani, Davao Occidental (4:29PM)",,,,,,,,,,@dzrhnews
4/4/16 18:18,"JUST IN: Magnitude 4.3 lindol Jose Abad Santos, Davao Occidental (8:40AM)",,,,,,,,,,@dzrhnews
4/3/16 16:15,"Updated Information from @phivolcs_dost: Jomalig, Quezon niyanig ng magnitude 4.8 na lindol kaninang 3:09 ng madaling araw",,,,,,,,,,@dzIQ990
3/30/16 4:43,"Just in: Looc, Occidental Mindoro, niyanig ng 3.2 magnitude na lindol | via @phivolcs_dost",,,,,,,,,,@dzrhnews
3/20/16 21:15,"Lalawigan ng Bohol, niyanig ng 4.1 magnitude na lindol #RapidoHatawBalita",,,,,,,,,,@dzrhnews
3/20/16 18:36,"#UPDATE: Magnitude 4.1 na lindol yumanig sa Danao, Bohol (7:01AM)",,,,,,,,,,@dzrhnews
3/19/16 15:21,"JUST IN: Magnitude 2.2 lindol naitala sa Looc, Occidental Mindoro (6:59AM)",,,,,,,,,,@dzrhnews
3/17/16 19:29,"JUST IN: Magnitude 3.5 lindol naitala sa Laoang, Northern Samar (11:03AM)",,,,,,,,,,@dzrhnews
3/16/16 19:00,"#UPDATE: Magnitude 4.8 na lindol naitala sa Iba, Zambales (6:46AM)",,,,,,,,,,@dzrhnews
3/16/16 15:16,"FLASH: Iba, Zambales, niyanig ng magnitude 4 na lindol kaninang 6:46 am. | via @allangatus",,,,,,,,,,@dzbb
